"filename", "language", "Markdown", "Python", "pip requirements", "Properties", "Docker", "Ini", "YAML", "Shell Script", "Jupyter", "Makefile", "Batch", "comment", "blank", "total"
"c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\cascade_rcnn\cascade_rcnn_r50_caffe_fpn_1x_coco.py", "Python", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 39
"c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\cascade_rcnn\cascade_rcnn_r50_fpn_1x_coco.py", "Python", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\cascade_rcnn\cascade_rcnn_r50_fpn_20e_coco.py", "Python", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 5
"c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\cascade_rcnn\cascade_rcnn_x101_32x4d_fpn_1x_coco.py", "Python", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\cascade_rcnn\cascade_rcnn_x101_32x4d_fpn_20e_coco.py", "Python", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\cascade_rcnn\cascade_rcnn_x101_64x4d_fpn_1x_coco.py", "Python", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\cascade_rcnn\cascade_rcnn_x101_64x4d_fpn_20e_coco.py", "Python", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\cascade_rcnn\metafile.yml", "YAML", 0, 0, 0, 0, 0, 0, 309, 0, 0, 0, 0, 0, 21, 330
"c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\cascade_rpn\README.md", "Markdown", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 30
"c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\cascade_rpn\crpn_fast_rcnn_r50_caffe_fpn_1x_coco.py", "Python", 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 76
"c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\cascade_rpn\crpn_faster_rcnn_r50_caffe_fpn_1x_coco.py", "Python", 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 93
"c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\cascade_rpn\crpn_r50_caffe_fpn_1x_coco.py", "Python", 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 78
"c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\centernet\README.md", "Markdown", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 31
"c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\centernet\centernet_resnet18_140e_coco.py", "Python", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\centernet\centernet_resnet18_dcnv2_140e_coco.py", "Python", 0, 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 7, 111
"c:\Users\wangy\Desktop\my-git\Study.mmdetection2.13.0\configs\centernet\metafile.yml", "YAML", 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 3, 42
